idade,area_atual,horas_disponiveis,nivel_logica,nivel_ingles,area_recomendada,tempo_estimado_semanas
21,Educação,35,7,7,Desenvolvimento Full Stack,38
43,Administração,25,1,8,Product Management,57
33,Direito,35,3,10,Cybersecurity,46
54,Saúde,14,9,3,Data Science,51
32,Administração,33,9,3,Data Science,35
48,Administração,39,1,7,Product Management,37
45,Educação,16,7,1,UX/UI Design,53
38,Administração,30,8,4,Data Science,35
32,Direito,8,4,2,Cybersecurity,66
21,Administração,26,10,5,Data Science,38
49,Educação,24,1,9,UX/UI Design,54
54,Saúde,40,5,1,UX/UI Design,32
40,Engenharia,5,2,1,UX/UI Design,68
39,Vendas,17,2,10,Product Management,60
23,Direito,15,10,3,Data Science,49
44,Direito,7,1,8,Cybersecurity,71
30,Direito,14,8,10,Data Science,55
20,Engenharia,19,4,6,UX/UI Design,54
31,Atendimento,12,2,1,Cybersecurity,65
19,Administração,13,1,6,Product Management,57
33,Atendimento,22,2,5,Cybersecurity,53
43,Saúde,14,10,3,Data Science,51
51,Atendimento,14,1,2,Cybersecurity,57
39,Administração,25,6,2,UX/UI Design,44
20,Engenharia,36,4,7,UX/UI Design,39
28,Atendimento,30,7,7,Desenvolvimento Full Stack,38
35,Direito,5,4,10,Cybersecurity,68
36,Saúde,26,7,3,UX/UI Design,43
40,Administração,11,4,6,Product Management,55
25,Engenharia,16,6,5,UX/UI Design,52
54,Engenharia,6,9,5,Data Science,55
20,Saúde,38,1,2,UX/UI Design,41
32,Administração,40,1,3,Product Management,42
37,Administração,24,7,8,Desenvolvimento Full Stack,42
31,Engenharia,38,3,6,UX/UI Design,41
51,Direito,21,9,2,Data Science,44
43,Vendas,9,3,8,Product Management,65
32,Atendimento,17,5,10,Desenvolvimento Full Stack,53
41,Direito,17,10,1,Data Science,49
41,Administração,34,6,1,UX/UI Design,40
23,Educação,5,5,10,Desenvolvimento Full Stack,59
21,Educação,23,9,10,Data Science,49
26,Educação,24,1,4,UX/UI Design,57
54,Vendas,24,4,6,Product Management,46
53,Vendas,23,4,1,Product Management,50
40,Direito,7,4,6,Cybersecurity,59
51,Atendimento,19,10,1,Data Science,42
50,Engenharia,17,3,6,UX/UI Design,54
29,Direito,7,6,2,Cybersecurity,63
35,Administração,35,5,6,UX/UI Design,36
26,Engenharia,20,2,3,UX/UI Design,56
45,Vendas,39,7,3,UX/UI Design,39
31,Vendas,32,6,3,UX/UI Design,39
35,Direito,35,10,1,Data Science,32
45,Direito,16,10,10,Data Science,50
29,Saúde,12,5,7,Desenvolvimento Full Stack,61
46,Direito,5,7,6,Cybersecurity,66
29,Engenharia,22,1,7,UX/UI Design,59
20,Educação,21,4,1,UX/UI Design,52
49,Atendimento,14,8,1,Data Science,52
28,Engenharia,16,2,7,UX/UI Design,59
19,Atendimento,18,5,10,Desenvolvimento Full Stack,56
35,Vendas,5,8,9,Data Science,64
29,Engenharia,31,4,2,UX/UI Design,46
36,Administração,40,8,9,Data Science,27
49,Saúde,14,1,2,UX/UI Design,60
51,Direito,27,3,5,Cybersecurity,52
25,Vendas,23,5,3,UX/UI Design,46
35,Engenharia,15,6,3,UX/UI Design,50
38,Engenharia,33,4,10,UX/UI Design,42
50,Administração,24,4,3,Product Management,51
30,Educação,32,8,7,Data Science,39
52,Engenharia,24,10,9,Data Science,37
29,Direito,6,6,6,Cybersecurity,61
52,Engenharia,33,8,7,Data Science,41
43,Educação,27,6,9,Desenvolvimento Full Stack,44
53,Engenharia,22,9,4,Data Science,45
54,Administração,19,7,7,Desenvolvimento Full Stack,51
50,Educação,32,9,1,Data Science,38
18,Direito,20,8,6,Data Science,45
34,Engenharia,40,8,1,Data Science,35
54,Vendas,26,8,1,Data Science,40
39,Saúde,5,1,7,UX/UI Design,71
50,Educação,5,9,1,Data Science,57
51,Atendimento,6,4,10,Cybersecurity,60
46,Educação,34,1,6,UX/UI Design,50
44,Vendas,21,7,2,UX/UI Design,49
40,Direito,22,10,5,Data Science,47
23,Engenharia,11,7,8,Desenvolvimento Full Stack,57
19,Educação,32,6,9,Desenvolvimento Full Stack,46
36,Vendas,18,3,1,Product Management,58
33,Atendimento,7,10,1,Data Science,57
25,Direito,9,6,5,Cybersecurity,61
35,Atendimento,34,8,8,Data Science,38
36,Vendas,39,10,1,Data Science,30
40,Vendas,39,9,6,Data Science,29
54,Atendimento,5,9,5,Data Science,57
22,Educação,10,8,6,Data Science,61
41,Direito,7,4,3,Cybersecurity,62
25,Educação,5,7,5,UX/UI Design,60
21,Educação,26,9,1,Data Science,45
29,Direito,30,8,3,Data Science,44
34,Vendas,26,8,10,Data Science,45
36,Educação,18,7,4,UX/UI Design,53
28,Educação,38,8,6,Data Science,30
36,Administração,33,1,1,Product Management,48
49,Atendimento,32,1,7,Cybersecurity,45
37,Administração,7,2,3,Product Management,69
43,Educação,14,4,2,UX/UI Design,53
44,Direito,36,1,3,Cybersecurity,47
27,Atendimento,15,6,7,Desenvolvimento Full Stack,51
49,Educação,28,10,9,Data Science,42
23,Engenharia,35,3,3,UX/UI Design,41
34,Atendimento,19,5,6,Cybersecurity,53
53,Atendimento,18,3,8,Cybersecurity,54
48,Direito,31,3,9,Cybersecurity,45
43,Administração,15,6,8,Desenvolvimento Full Stack,52
24,Direito,17,7,6,Cybersecurity,54
39,Atendimento,36,10,4,Data Science,33
52,Engenharia,28,8,5,Data Science,37
45,Vendas,22,8,6,Data Science,43
27,Saúde,5,2,2,UX/UI Design,72
46,Atendimento,6,2,2,Cybersecurity,67
29,Saúde,10,7,10,Desenvolvimento Full Stack,57
33,Educação,19,10,7,Data Science,43
39,Atendimento,23,9,2,Data Science,46
53,Direito,17,4,2,Cybersecurity,59
49,Vendas,21,5,4,UX/UI Design,48
22,Saúde,26,6,2,UX/UI Design,41
31,Direito,12,5,1,Cybersecurity,54
40,Vendas,22,5,10,Desenvolvimento Full Stack,50
25,Saúde,8,10,4,Data Science,57
52,Atendimento,33,10,5,Data Science,37
45,Engenharia,39,3,4,UX/UI Design,43
31,Administração,33,6,4,UX/UI Design,43
37,Saúde,18,9,5,Data Science,49
34,Administração,27,1,6,Product Management,48
32,Atendimento,14,2,6,Cybersecurity,58
28,Administração,17,9,10,Data Science,45
26,Direito,26,6,1,Cybersecurity,44
33,Saúde,23,10,3,Data Science,38
30,Engenharia,8,1,8,UX/UI Design,64
27,Vendas,21,7,3,UX/UI Design,50
47,Direito,25,9,8,Data Science,43
22,Educação,38,2,3,UX/UI Design,37
40,Direito,23,2,6,Cybersecurity,51
20,Engenharia,22,8,6,Data Science,48
39,Vendas,14,10,10,Data Science,46
51,Direito,40,2,5,Cybersecurity,40
28,Engenharia,32,9,3,Data Science,41
49,Saúde,32,7,6,UX/UI Design,35
43,Saúde,10,9,8,Data Science,50
22,Engenharia,8,2,9,UX/UI Design,61
35,Vendas,38,4,9,Product Management,42
41,Engenharia,15,2,1,UX/UI Design,64
20,Vendas,27,6,10,Desenvolvimento Full Stack,44
53,Engenharia,20,7,2,UX/UI Design,52
54,Atendimento,21,7,2,Cybersecurity,53
21,Educação,30,2,6,UX/UI Design,51
18,Educação,23,1,10,UX/UI Design,57
25,Vendas,15,4,10,Product Management,53
48,Atendimento,31,6,2,Cybersecurity,44
32,Direito,32,6,10,Desenvolvimento Full Stack,36
30,Saúde,11,5,4,UX/UI Design,57
20,Administração,17,4,2,Product Management,54
55,Saúde,24,1,8,UX/UI Design,50
43,Saúde,28,9,2,Data Science,37
43,Engenharia,32,5,8,Desenvolvimento Full Stack,45
20,Saúde,10,10,9,Data Science,52
54,Atendimento,38,3,4,Cybersecurity,35
41,Vendas,25,2,7,Product Management,52
45,Vendas,25,6,8,Desenvolvimento Full Stack,49
34,Educação,34,1,3,UX/UI Design,43
46,Engenharia,25,9,7,Data Science,38
53,Saúde,17,4,9,UX/UI Design,52
37,Direito,19,4,6,Cybersecurity,51
24,Atendimento,13,5,2,Cybersecurity,56
35,Saúde,34,2,9,UX/UI Design,40
38,Direito,15,9,4,Data Science,56
44,Atendimento,31,9,4,Data Science,40
48,Atendimento,30,9,2,Data Science,42
27,Atendimento,10,5,3,Cybersecurity,56
51,Vendas,17,9,8,Data Science,49
41,Engenharia,13,2,3,UX/UI Design,61
41,Educação,7,1,2,UX/UI Design,69
37,Administração,31,7,8,Desenvolvimento Full Stack,39
21,Engenharia,40,5,5,UX/UI Design,39
51,Saúde,33,8,4,Data Science,40
36,Atendimento,20,8,6,Data Science,47
31,Vendas,39,2,1,Product Management,45
18,Engenharia,26,8,10,Data Science,47
19,Saúde,25,10,2,Data Science,39
19,Engenharia,17,5,2,UX/UI Design,57
42,Administração,29,3,8,Product Management,44
19,Vendas,11,9,2,Data Science,51
23,Educação,24,6,9,Desenvolvimento Full Stack,43
43,Administração,31,9,4,Data Science,39
28,Engenharia,13,8,10,Data Science,50
52,Saúde,6,10,2,Data Science,57
19,Engenharia,12,8,3,Data Science,54
34,Educação,16,4,4,UX/UI Design,54
51,Administração,23,3,4,Product Management,50
55,Vendas,30,8,8,Data Science,40
36,Vendas,6,3,4,Product Management,65
48,Educação,6,4,8,UX/UI Design,67
28,Engenharia,8,8,9,Data Science,62
25,Engenharia,5,8,2,Data Science,58
18,Saúde,16,3,2,UX/UI Design,59
42,Administração,35,9,1,Data Science,30
23,Administração,16,9,3,Data Science,51
44,Engenharia,26,4,1,UX/UI Design,50
45,Educação,12,10,9,Data Science,51
42,Educação,25,8,10,Data Science,47
37,Engenharia,16,5,1,UX/UI Design,51
40,Educação,5,2,4,UX/UI Design,62
37,Vendas,23,5,10,Desenvolvimento Full Stack,47
53,Saúde,14,4,4,UX/UI Design,59
41,Atendimento,37,3,4,Cybersecurity,42
53,Atendimento,27,8,3,Data Science,38
45,Educação,32,7,5,UX/UI Design,43
19,Atendimento,22,1,10,Cybersecurity,50
25,Atendimento,6,9,8,Data Science,61
27,Vendas,16,4,8,Product Management,56
22,Educação,21,2,8,UX/UI Design,56
25,Engenharia,18,6,7,Desenvolvimento Full Stack,53
44,Atendimento,22,6,6,Cybersecurity,53
35,Engenharia,18,6,1,UX/UI Design,51
41,Saúde,18,2,6,UX/UI Design,61
18,Saúde,9,5,8,Desenvolvimento Full Stack,57
48,Administração,16,6,6,UX/UI Design,53
23,Educação,5,10,7,Data Science,54
26,Saúde,24,9,7,Data Science,42
36,Educação,24,5,8,Desenvolvimento Full Stack,48
37,Direito,16,2,1,Cybersecurity,61
54,Direito,20,2,1,Cybersecurity,60
21,Engenharia,34,6,4,UX/UI Design,40
48,Engenharia,28,1,3,UX/UI Design,49
37,Direito,8,3,5,Cybersecurity,62
42,Atendimento,40,6,10,Desenvolvimento Full Stack,31
31,Atendimento,19,9,9,Data Science,44
20,Educação,18,4,2,UX/UI Design,57
54,Engenharia,29,7,10,Desenvolvimento Full Stack,46
40,Vendas,19,7,7,Desenvolvimento Full Stack,53
38,Saúde,35,1,9,UX/UI Design,41
51,Educação,19,4,7,UX/UI Design,50
42,Direito,23,7,3,Cybersecurity,45
26,Educação,23,3,5,UX/UI Design,53
35,Educação,25,3,5,UX/UI Design,45
39,Educação,5,1,2,UX/UI Design,65
52,Saúde,9,10,6,Data Science,54
50,Saúde,25,10,7,Data Science,38
41,Atendimento,23,4,4,Cybersecurity,49
42,Engenharia,17,1,3,UX/UI Design,55
42,Vendas,11,2,6,Product Management,63
30,Administração,21,8,2,Data Science,52
31,Saúde,6,3,10,UX/UI Design,69
40,Engenharia,32,7,6,UX/UI Design,37
18,Vendas,29,9,2,Data Science,37
29,Educação,10,6,6,UX/UI Design,63
18,Vendas,19,3,1,Product Management,53
26,Vendas,10,6,3,UX/UI Design,60
40,Saúde,34,9,10,Data Science,40
21,Saúde,29,1,9,UX/UI Design,46
46,Vendas,12,4,7,Product Management,60
39,Atendimento,22,8,3,Data Science,46
20,Vendas,6,6,7,Desenvolvimento Full Stack,64
26,Saúde,24,10,7,Data Science,39
52,Saúde,16,4,1,UX/UI Design,55
36,Direito,25,8,2,Data Science,45
35,Vendas,12,7,10,Desenvolvimento Full Stack,55
26,Vendas,36,3,3,Product Management,43
21,Educação,20,8,3,Data Science,49
18,Direito,9,3,10,Cybersecurity,59
19,Educação,40,5,3,UX/UI Design,39
20,Atendimento,7,10,3,Data Science,56
54,Vendas,24,7,3,UX/UI Design,42
37,Direito,34,9,9,Data Science,35
48,Educação,8,9,1,Data Science,55
55,Direito,9,1,9,Cybersecurity,69
52,Educação,17,5,3,UX/UI Design,54
51,Engenharia,39,7,7,Desenvolvimento Full Stack,35
46,Administração,22,1,7,Product Management,59
20,Atendimento,17,2,1,Cybersecurity,55
32,Vendas,37,1,1,Product Management,45
32,Vendas,28,5,4,UX/UI Design,44
20,Direito,17,8,3,Data Science,52
44,Engenharia,40,3,3,UX/UI Design,39
25,Vendas,26,1,4,Product Management,49
40,Educação,37,7,5,UX/UI Design,37
49,Administração,32,2,3,Product Management,46
31,Engenharia,12,5,1,UX/UI Design,53
39,Saúde,33,10,3,Data Science,31
21,Administração,28,9,2,Data Science,39
20,Administração,8,2,10,Product Management,68
50,Vendas,27,9,6,Data Science,46
50,Direito,31,1,3,Cybersecurity,44
41,Direito,23,2,5,Cybersecurity,53
53,Direito,28,8,5,Data Science,46
40,Atendimento,8,2,4,Cybersecurity,64
48,Educação,33,8,5,Data Science,34
42,Vendas,13,2,9,Product Management,60
49,Administração,39,1,3,Product Management,45
30,Atendimento,17,7,4,Cybersecurity,55
46,Saúde,32,3,5,UX/UI Design,47
28,Administração,22,10,2,Data Science,41
18,Direito,37,4,1,Cybersecurity,39
34,Atendimento,7,3,8,Cybersecurity,60
24,Educação,32,7,5,UX/UI Design,43
44,Administração,36,4,1,Product Management,42
39,Direito,17,9,8,Data Science,54
29,Vendas,23,3,1,Product Management,52
31,Administração,40,5,3,UX/UI Design,39
30,Engenharia,36,8,6,Data Science,35
31,Vendas,20,2,3,Product Management,50
22,Vendas,5,1,5,Product Management,66
26,Direito,10,6,6,Cybersecurity,54
19,Direito,38,2,1,Cybersecurity,40
19,Atendimento,30,9,9,Data Science,39
46,Educação,34,1,6,UX/UI Design,43
29,Educação,14,1,3,UX/UI Design,58
49,Direito,13,6,5,Cybersecurity,54
27,Educação,29,7,8,Desenvolvimento Full Stack,37
31,Vendas,12,9,9,Data Science,52
55,Saúde,9,6,2,UX/UI Design,56
45,Engenharia,23,7,5,UX/UI Design,44
48,Engenharia,9,8,7,Data Science,56
39,Administração,37,3,5,Product Management,37
43,Administração,20,1,2,Product Management,58
52,Saúde,13,2,4,UX/UI Design,60
50,Saúde,40,6,3,UX/UI Design,31
53,Vendas,28,8,7,Data Science,46
25,Direito,21,6,7,Desenvolvimento Full Stack,46
22,Saúde,36,1,7,UX/UI Design,41
40,Atendimento,40,8,6,Data Science,35
19,Educação,40,5,9,Desenvolvimento Full Stack,39
18,Atendimento,31,3,3,Cybersecurity,49
38,Saúde,13,9,3,Data Science,56
38,Vendas,18,7,4,UX/UI Design,48
20,Direito,18,4,2,Cybersecurity,58
37,Vendas,23,8,6,Data Science,42
54,Saúde,5,4,7,UX/UI Design,62
55,Direito,29,10,8,Data Science,37
27,Direito,26,3,4,Cybersecurity,51
21,Engenharia,6,5,8,Desenvolvimento Full Stack,67
31,Engenharia,31,3,10,UX/UI Design,43
39,Vendas,39,4,3,Product Management,36
55,Saúde,7,1,8,UX/UI Design,63
50,Vendas,13,6,3,UX/UI Design,54
42,Engenharia,28,6,3,UX/UI Design,48
28,Saúde,15,4,3,UX/UI Design,58
53,Direito,39,4,7,Cybersecurity,39
44,Direito,39,2,1,Cybersecurity,41
42,Vendas,22,1,1,Product Management,51
51,Administração,5,7,2,UX/UI Design,63
41,Administração,10,10,9,Data Science,54
53,Atendimento,13,10,6,Data Science,52
35,Saúde,20,5,8,Desenvolvimento Full Stack,54
55,Engenharia,34,8,9,Data Science,33
34,Direito,35,7,7,Desenvolvimento Full Stack,40
54,Vendas,34,8,4,Data Science,37
46,Vendas,7,6,9,Desenvolvimento Full Stack,56
42,Educação,24,10,8,Data Science,45
53,Engenharia,33,8,9,Data Science,36
21,Saúde,28,9,1,Data Science,40
25,Educação,12,3,10,UX/UI Design,56
32,Engenharia,16,6,2,UX/UI Design,51
43,Administração,17,1,8,Product Management,56
22,Educação,23,7,8,Desenvolvimento Full Stack,51
27,Vendas,38,10,8,Data Science,31
33,Direito,32,10,5,Data Science,40
24,Direito,12,8,2,Data Science,58
42,Educação,15,7,5,UX/UI Design,50
20,Educação,27,9,3,Data Science,41
43,Vendas,14,10,4,Data Science,49
37,Educação,28,8,9,Data Science,37
41,Atendimento,31,9,5,Data Science,36
52,Engenharia,14,3,5,UX/UI Design,63
51,Vendas,22,6,7,Desenvolvimento Full Stack,52
32,Administração,18,6,6,UX/UI Design,55
19,Atendimento,30,5,8,Desenvolvimento Full Stack,39
42,Educação,32,9,1,Data Science,40
38,Administração,13,4,6,Product Management,60
40,Educação,28,3,10,UX/UI Design,52
50,Educação,26,9,6,Data Science,45
28,Administração,13,10,4,Data Science,52
55,Educação,32,4,4,UX/UI Design,41
51,Direito,10,6,8,Desenvolvimento Full Stack,58
27,Engenharia,5,5,3,UX/UI Design,61
35,Atendimento,39,8,4,Data Science,34
53,Atendimento,39,7,10,Desenvolvimento Full Stack,35
29,Atendimento,8,10,4,Data Science,53
39,Saúde,38,10,8,Data Science,27
28,Engenharia,21,1,10,UX/UI Design,60
29,Engenharia,28,8,3,Data Science,46
53,Educação,27,2,5,UX/UI Design,46
51,Educação,23,6,2,UX/UI Design,44
22,Vendas,10,6,6,UX/UI Design,54
26,Educação,6,9,2,Data Science,53
33,Atendimento,6,5,10,Desenvolvimento Full Stack,61
27,Direito,13,5,4,Cybersecurity,55
18,Atendimento,11,1,3,Cybersecurity,62
18,Vendas,15,6,5,UX/UI Design,58
39,Vendas,23,10,5,Data Science,41
55,Educação,21,5,4,UX/UI Design,49
20,Vendas,40,3,2,Product Management,36
34,Vendas,37,2,7,Product Management,42
48,Vendas,24,8,6,Data Science,47
19,Saúde,36,8,4,Data Science,40
27,Saúde,5,10,5,Data Science,56
